,security_id,date,close,adjusted_price
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-04,27.5400,27.5400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-05,27.5400,27.5400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-06,26.6900,26.6900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-07,24.8900,24.8900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-08,24.2300,24.2300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-09,24.7600,24.7600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-10,23.4600,23.4600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-11,23.4600,23.4600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-12,23.4600,23.4600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-13,23.6600,23.6600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-14,23.7300,23.7300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-15,23.9700,23.9700
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-16,24.3800,24.3800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-17,25.4200,25.4200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-18,25.4200,25.4200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-19,25.4200,25.4200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-20,25.4200,25.4200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-21,25.6000,25.6000
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-22,26.9700,26.9700
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-23,25.8400,25.8400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-24,25.2700,25.2700
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-25,25.2700,25.2700
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-26,25.2700,25.2700
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-27,25.9300,25.9300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-02-28,25.2200,25.2200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-01,24.5900,24.5900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-02,24.4500,24.4500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-03,23.4300,23.4300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-04,23.4300,23.4300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-05,23.4300,23.4300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-06,23.0400,23.0400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-07,24.6600,24.6600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-08,25.1200,25.1200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-09,25.8000,25.8000
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-10,25.1600,25.1600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-11,25.1600,25.1600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-12,25.1600,25.1600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-13,26.4400,26.4400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-14,28.1100,28.1100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-15,30.5100,30.5100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-16,30.4300,30.4300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-17,31.6500,31.6500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-18,31.6500,31.6500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-19,31.6500,31.6500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-20,30.6200,30.6200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-21,29.3300,29.3300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-22,29.0600,29.0600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-23,29.6100,29.6100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-24,29.5600,29.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-25,29.5600,29.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-26,29.5600,29.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-27,26.7800,26.7800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-28,26.4900,26.4900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-29,26.8000,26.8000
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-30,25.9700,25.9700
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-03-31,25.2200,25.2200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-01,25.2200,25.2200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-02,25.2200,25.2200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-03,22.8400,22.8400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-04,22.8200,22.8200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-05,22.8400,22.8400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-06,22.9000,22.9000
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-07,22.9000,22.9000
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-08,22.9000,22.9000
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-09,22.9000,22.9000
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-10,23.1200,23.1200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-11,22.3600,22.3600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-12,21.5600,21.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-13,21.8200,21.8200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-14,21.6900,21.6900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-15,21.6900,21.6900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-16,21.6900,21.6900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-17,22.3200,22.3200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-18,22.3800,22.3800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-19,23.2500,23.2500
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-20,24.3400,24.3400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-21,23.7300,23.7300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-22,23.7300,23.7300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-23,23.7300,23.7300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-24,23.1100,23.1100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-25,24.2600,24.2600
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-26,25.7800,25.7800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-27,25.4800,25.4800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-28,24.2200,24.2200
